Datum,Matchtyp,Omgång,Match,Resultat,Spelplats,Publik
19750807,Division 2 Södra,15,Kalmar&nbspFF –&nbspIFK&nbspGöteborg,L 3–1 (2–1),Fredriksskans13 023,13023
19750804,Division 2 Södra,14,IFK&nbspGöteborg – Helsingborgs&nbspIF,W 2–0 (1–0),Ullevi26 173,26173
19750728,Vänskapsmatch,N/A,Karlstad&nbspBK –&nbspIFK&nbspGöteborg,L 1–0,Tingvalla&nbspIdrottsplats,
19750726,Vänskapsmatch,N/A,Hönö&nbspIS –&nbspIFK&nbspGöteborg,W 0–12,Heinövallen,
19750723,Vänskapsmatch,N/A,IFK&nbspGöteborg – Leicester&nbspCity&nbspFC,L 1–2 (1–1),Ullevi11 545,11545
19750721,Vänskapsmatch,N/A,IFK&nbspGöteborg – Fulham&nbspFC,W 4–1 (3–1),Ullevi12 667,12667
19750718,Vänskapsmatch,N/A,IFK&nbspGöteborg – De&nbspGraafschap,W 5–1,Gullmarsvallen,
19750717,Vänskapsmatch,N/A,IF&nbspNorvalla –&nbspIFK&nbspGöteborg,L 4–2 (1–1),Norvalla&nbspIdrottsplats2 490,2490
19750715,Vänskapsmatch,N/A,Bohuslänskomb. –&nbspIFK&nbspGöteborg,W 0–6,Hedevallen,
19750626,Division 2 Södra,13,Helsingborgs&nbspIF –&nbspIFK&nbspGöteborg,W 1–3 (1–1),Olympia8 073,8073
19750623,Division 2 Södra,12,IFK&nbspGöteborg – Emmaboda&nbspIS,W 6–2 (2–0),Ullevi10 059,10059
19750615,Division 2 Södra,11,IFK&nbspHässleholm –&nbspIFK&nbspGöteborg,W 1–2 (0–1),Österås&nbspIdrottsplats3 360,3360
19750611,Division 2 Södra,10,IFK&nbspGöteborg – Kalmar&nbspFF,L 0–1 (0–1),Ullevi45 951,45951
19750605,Division 2 Södra,9,Västra&nbspFrölunda&nbspIF –&nbspIFK&nbspGöteborg,W 0–3 (0–2),Slottsskogsvallen11 911,11911
19750602,Division 2 Södra,8,IFK&nbspGöteborg – Grimsås&nbspIF,W 2–0 (1–0),Ullevi11 642,11642
19750527,Division 2 Södra,7,Trollhättans&nbspIF –&nbspIFK&nbspGöteborg,W 0–6 (0–3),Edsborgs&nbspIdrottsplats10 591,10591
19750517,Division 2 Södra,6,IS&nbspHalmia –&nbspIFK&nbspGöteborg,W 1–3 (1–1),Örjans&nbspvall2 556,2556
19750512,Division 2 Södra,5,IFK&nbspGöteborg – Skövde&nbspAIK,D 0–0 (0–0),Ullevi11 892,11892
19750504,Division 2 Södra,4,Blomstermåla&nbspIK –&nbspIFK&nbspGöteborg,W 1–4 (1–1),Blomstermåla&nbspIdrottsplats1 089,1089
19750426,Division 2 Södra,3,IFK&nbspGöteborg – IFK&nbspMalmö,W 4–2 (0–1),Ullevi6 107,6107
19750420,Division 2 Södra,2,KB&nbspKarlskoga –&nbspIFK&nbspGöteborg,L 1–0 (0–0),Nobelstadion2 545,2545
19750412,Division 2 Södra,1,IFK&nbspGöteborg – Jönköpings&nbspSödra&nbspIF,W 1–0 (1–0),Ullevi5 838,5838
19750406,Vänskapsmatch,N/A,Östers&nbspIF –&nbspIFK&nbspGöteborg,L 2–1 (1–1),Värendsvallen,
19750328,Triangelserien,N/A,GAIS –&nbspIFK&nbspGöteborg,L 3–0 (2–0),Valhalla&nbspIdrottsplats4 643,4643
19750323,Triangelserien,N/A,IFK&nbspGöteborg – Örgryte&nbspIS,W 4–2 (2–1),Gamla&nbspUllevi (1916)2 400,2400
19750312,Vänskapsmatch,N/A,SBV&nbspVitesse –&nbspIFK&nbspGöteborg,L 3–0,Arnhem,
19750311,Vänskapsmatch,N/A,SC&nbspSilvolde –&nbspIFK&nbspGöteborg,W 1–3,Sportpark&nbspDe&nbspMunsterman,
19750302,Vänskapsmatch,N/A,IFK&nbspGöteborg – Göteborgs&nbspAIK,W 4–0,Valhalla&nbspIdrottsplats,
19750301,Vänskapsmatch,N/A,IFK&nbspGöteborg – Ope&nbspIF,W 2–1 (1–1),Valhalla&nbspIdrottsplats,
19750222,Vänskapsmatch,N/A,IFK&nbspGöteborg – IF&nbspNorvalla,W 3–1 (2–1),Valhalla&nbspIdrottsplats,
19750215,Vänskapsmatch,N/A,Varbergs&nbspBoIS –&nbspIFK&nbspGöteborg,D 0–0 (0–0),Getteröns&nbspflygfält,
19741028,Vänskapsmatch,N/A,IFK&nbspGöteborg – IF&nbspNorvalla,L 0–2 (0–2),Valhalla&nbspIdrottsplats,
19741019,Division 2 Södra,26,IFK&nbspGöteborg – Grimsås&nbspIF,L 0–1 (0–1),Ullevi727,727
19741013,Division 2 Södra,25,Hässleholms&nbspIF –&nbspIFK&nbspGöteborg,W 1–3 (0–1),Österås&nbspIdrottsplats70,70
19741003,Division 2 Södra,24,Örgryte&nbspIS –&nbspIFK&nbspGöteborg,L 3–1 (0–1),Ullevi11 380,11380
19740928,Division 2 Södra,23,IFK&nbspGöteborg – Emmaboda&nbspIS,L 1–2 (0–1),Ullevi1 736,1736
19740922,Division 2 Södra,22,Skövde&nbspAIK –&nbspIFK&nbspGöteborg,W 0–1 (0–1),Södermalms&nbspIdrottsplats708,708
19740915,Division 2 Södra,21,IFK&nbspGöteborg – IS&nbspHalmia,D 2–2 (1–0),Ullevi2 748,2748
19740908,Division 2 Södra,20,IFK&nbspGöteborg – IFK&nbspMalmö,W 4–0 (3–0),Ullevi1 354,1354
19740901,Division 2 Södra,19,IFK&nbspKristianstad –&nbspIFK&nbspGöteborg,W 1–2 (0–1),Kristianstad&nbspIdrottsplats982,982
19740825,Division 2 Södra,18,IFK&nbspFalköping –&nbspIFK&nbspGöteborg,W 0–1 (0–0),Odenplan1 063,1063
19740819,Division 2 Södra,17,IFK&nbspGöteborg – Västra&nbspFrölunda&nbspIF,W 3–0 (0–0),Ullevi3 560,3560
19740814,Division 2 Södra,16,IFK&nbspGöteborg – Trollhättans&nbspIF,D 3–3 (0–1),Ullevi2 261,2261
19740811,Division 2 Södra,15,Kalmar&nbspFF –&nbspIFK&nbspGöteborg,L 3–1 (1–0),Fredriksskans3 288,3288
19740804,Division 2 Södra,14,Helsingborgs&nbspIF –&nbspIFK&nbspGöteborg,D 1–1 (1–0),Olympia5 679,5679
19740729,Division 2 Södra,13,IFK&nbspGöteborg – Helsingborgs&nbspIF,D 0–0 (0–0),Ullevi4 516,4516
19740723,Vänskapsmatch,N/A,Kungsbacka&nbspBI –&nbspIFK&nbspGöteborg,L 2–0,Tingbergsvallen,
19740719,Vänskapsmatch,N/A,IFK&nbspGöteborg – Falu&nbspBS,W 4–1,Gamla&nbspUllevi (1916),
19740716,Vänskapsmatch,N/A,IF&nbspElfsborg –&nbspIFK&nbspGöteborg,W 0–2,Ryavallen,
19740712,Vänskapsmatch,N/A,IFK&nbspSundsvall –&nbspIFK&nbspGöteborg,W 0–6,Ödsmåls&nbspIdrottsplats,
19740624,Vänskapsmatch,N/A,IK&nbspElmer –&nbspIFK&nbspGöteborg,W 0–2,Jonslund,
19740617,Division 2 Södra,12,IFK&nbspGöteborg – Hässleholms&nbspIF,W 8–3 (2–0),Ullevi1 486,1486
19740611,Division 2 Södra,11,IFK&nbspMalmö –&nbspIFK&nbspGöteborg,L 5–4 (1–2),Malmö&nbspStadion1 049,1049
19740606,Division 2 Södra,10,IFK&nbspGöteborg – IFK&nbspKristianstad,D 3–3 (2–1),Ullevi1 719,1719
19740530,Division 2 Södra,9,Västra&nbspFrölunda&nbspIF –&nbspIFK&nbspGöteborg,L 3–0 (2–0),Slottsskogsvallen3 450,3450
19740526,Division 2 Södra,8,IFK&nbspGöteborg – IFK&nbspFalköping,W 5–0 (1–0),Ullevi1 925,1925
19740519,Division 2 Södra,7,Grimsås&nbspIF –&nbspIFK&nbspGöteborg,D 1–1 (1–0),Grimsborgs&nbspIdrottsplats1 186,1186
19740516,Division 2 Södra,6,IFK&nbspGöteborg – Örgryte&nbspIS,L 1–6 (1–2),Ullevi15 380,15380
19740512,Division 2 Södra,5,Emmaboda&nbspIS –&nbspIFK&nbspGöteborg,W 0–1 (0–1),Emmaboda&nbspIdrottsplats1 158,1158
19740505,Division 2 Södra,4,Trollhättans&nbspIF –&nbspIFK&nbspGöteborg,D 2–2 (1–1),Edsborgs&nbspIdrottsplats6 783,6783
19740427,Division 2 Södra,3,IFK&nbspGöteborg – Kalmar&nbspFF,L 0–2 (0–0),Ullevi4 957,4957
19740421,Division 2 Södra,2,IS&nbspHalmia –&nbspIFK&nbspGöteborg,D 0–0 (0–0),Örjans&nbspvall790,790
19740415,Vänskapsmatch,N/A,Backa&nbspIF –&nbspIFK&nbspGöteborg,W 0–3 (0–1),Backavallen,
19740411,Division 2 Södra,1,IFK&nbspGöteborg – Skövde&nbspAIK,W 2–0 (2–0),Nya&nbspIdrottsplatsen1 187,1187
19740405,Kvadratserien,3,IFK&nbspGöteborg – Örgryte&nbspIS,L 0–3 (0–1),,1567
19740331,Kvadratserien,2,GAIS –&nbspIFK&nbspGöteborg,D 0–0 (0–0),,2887
19740328,Vänskapsmatch,N/A,Annebergs&nbspIF –&nbspIFK&nbspGöteborg,W 0–3,Inlags&nbspIdrottsplats,
19740324,Kvadratserien,1,IFK&nbspGöteborg – IF&nbspElfsborg,L 0–1 (0–1),,1614
19740317,Vänskapsmatch,N/A,IFK&nbspGöteborg – Fredrikstad&nbspFK,D 1–1,Gamla&nbspUllevi (1916),
19740314,Vänskapsmatch,N/A,SBV&nbspVitesse –&nbspIFK&nbspGöteborg,L 2–1,Arnhem,
19740312,Vänskapsmatch,N/A,De&nbspGraafschap –&nbspIFK&nbspGöteborg,L 2–1,Doetinchem,
19740306,Vänskapsmatch,N/A,Jönköpings&nbspSödra&nbspIF –&nbspIFK&nbspGöteborg,L 2–1,Ljungarumsvallen,
19740303,Vänskapsmatch,N/A,Varbergs&nbspBoIS –&nbspIFK&nbspGöteborg,W 0–2,Getteröns&nbspflygfält,
19740223,Vänskapsmatch,N/A,IFK&nbspGöteborg – Göteborgs&nbspFF,D 1–1,Valhalla&nbspIdrottsplats,
19740223,Vänskapsmatch,N/A,IFK&nbspGöteborg – Holmalunds&nbspIF,L 0–1,Valhalla&nbspIdrottsplats,
19740216,Vänskapsmatch,N/A,Alingsås&nbspIF –&nbspIFK&nbspGöteborg,W 0–3,Mjörnvallen,
19740209,Vänskapsmatch,N/A,IFK&nbspGöteborg – Norrby&nbspIF,W 3–1,Valhalla&nbspIdrottsplats,
19740202,Vänskapsmatch,N/A,IFK&nbspGöteborg – Kungsbacka&nbspBI,W 4–1 (1–1),Valhalla&nbspIdrottsplats,
19740126,Vänskapsmatch,N/A,IFK&nbspGöteborg – IF&nbspWarta,W 3–1 (0–0),Valhalla&nbspIdrottsplats,
19731114,Vänskapsmatch,N/A,IFK&nbspGöteborg – Göteborgs&nbspFF,W 7–1 (2–1),Valhalla&nbspIdrottsplats,
19731110,Vänskapsmatch,N/A,IFK&nbspGöteborg – GAIS,L 0–2 (0–1),Gamla&nbspUllevi (1916)569,569
