Namn,I Blåvitt,Matcher,Mål,Allsvenska Matcher,Allsvenska Mål
SVENSSON Urban,1931/32-1933/34,59,0,33,0
WALLIN Viktor,1931/32-1933/34,12,0,3,0
ANTFORS Henry,1932/33,4,3,2,2
BERNDTSSON Harry,1932/33-1933/34,7,8,2,0
BERNDTSSON Harry,1932/33,Okänt,0,0,0
BOHMAN Gösta,1932/33-1934/35,13,11,8,5
CARLSSON Lennart,1932/33,1,1,0,0
GEDDA Henry,1932/33,3,1,1,1
HYSÉN Carl,1932/33-1936/37,106,8,73,4
LINDSTEDT Gustaf,1932/33,10,2,8,2
NYBERG Arne,1932/33-1949/50,469,289,279,111
PERSSON Henry,1932/33,5,6,3,4
SCHÜLER Allan,1932/33,1,0,0,0
AMMERFELT Sixten,1933/34-1934/35,5,3,2,0
ANDERSSON Otto,1933/34,1,0,0,0
BORG Georg,1933/34,1,0,0,0
FORSBERG Gunnar,1933/34-1937/38,64,34,42,19
GRANATH Erik,1933/34,1,0,0,0
HULTÉN Vallentin,1933/34-1942/43,160,1,75,0
HULTFELDT Olof,1933/34-1943/44,263,2,150,1
JOHANSSON Ragnar,1933/34,1,0,0,0
KROOK Svejde,1933/34-1938/39,122,67,76,28
LARSSON Erik,1933/34,1,0,0,0
WALLIN Nils,1933/34,5,0,5,0
ZACHRISSON Harry,1933/34,1,0,0,0
SETTERLUND Harry,1934/35,1,0,0,0
SVENSSON Elis,1934/35,1,0,0,0
WENZEL Nils,"1934/35, 1937/38",3,0,1,0
WENZEL Viktor,1934/35,1,0,0,0
ELIASSON Karl-Erik,1935/36-1940/41,52,20,22,1
ERIKSSON Nils,"1935/36, 1937/38-1948/49",260,0,138,0
HOLMSTRÖM Gösta,1935/36,2,0,0,0
PETTERSSON Roland,"1935/36, 1937/38, 1940/41-1941/42",17,7,8,4
WERNER Gustaf,1935/36-1937/38,23,13,11,7
CHRISTENSSON Rolf,1936/37-1938/39,46,9,21,2
GÖRANSSON Arne,1936/37-1937/38,21,7,13,4
JOHANSSON Folke,1936/37-1946/47,282,27,162,14
JOHANSSON Gustav,1936/37-1940/41,27,0,8,0
LÖFGREN Stig,1936/37-1938/39,27,8,12,3
NÖJD Widrof,1936/37,3,0,3,0
TRANBERG Arne,1936/37-1937/38,26,0,14,0
ANDERSSON John,1937/38-1938/39,10,10,0,0
BERNMAR Anders,1937/38-1938/39,3,0,1,0
LIND Gunnar,1937/38-1938/39,3,2,0,0
MOSSBERG Bengt,1937/38-1941/42,111,31,49,10
ODELL Erik,1937/38,1,0,1,0
ÖQVIST Gunnar,"1937/38, 1939/40-1940/41",7,4,0,0
BENNHOV Holger,1938/39-1949/50,328,215,208,100
BERG Bror,1938/39,1,0,0,0
BERNDTSSON Per-Olof,1938/39-1940/41,6,3,0,0
HALLMAN Åke,1938/39-1941/42,92,23,44,10
HANSÉN Nils,1938/39-1939/40,3,0,0,0
LARSSON Folke,1938/39-1948/49,288,46,157,12
LARSSON Leif,1938/39-1945/46,174,205,95,78
LINDSTRÖM Erik,1938/39,1,1,0,0
OLAUSSON Axel,1938/39-1944/45,168,0,94,0
PERVIK Berth,1938/39-1940/41,15,4,7,1
REGELL Erik,1938/39,2,1,0,0
ÖSTERGREN Åke,1938/39,2,0,0,0
BOMB Hans,1939/40-1940/41,6,0,0,0
CARLSSON Bengt,"1939/40, 1941/42",2,0,0,0
JOHANSSON Rolf,1939/40,3,0,0,0
LINDMAN Einar,1939/40,1,0,0,0
OLSSON Erik,1939/40,1,0,0,0
ROTENBERG Oskar,1939/40-1941/42,6,2,0,0
SANDESJÖ Hans,1939/40,1,0,0,0
WALLMAN Karl-Erik,1939/40-1940/41,3,1,1,0
ANDERSSON Arnold,1940/41-1942/43,15,0,8,0
GREN Gunnar,1940/41-1949/50,253,144,164,78
NORDSTRÖM Thure,1940/41-1941/42,10,2,4,0
SCHULZ Per-Otto,1940/41,2,0,0,0
EMANUELSSON Rune,1941/42-1955/56,397,23,211,7
ERIKSSON Gösta,1941/42-1942/43,9,0,6,0
GLADER Erik,1941/42-1942/43,9,0,4,0
SAMUELSSON Åke,1941/42-1942/43,17,5,9,3
ANDERSSON Evald,1942/43,1,0,0,0
APPELGREN Arne,1942/43,4,1,1,0
BERGQVIST Erik,1942/43-1954/55,355,146,189,42
CLAESSON Rune,1942/43-1946/47,33,0,14,0
